State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2020,1585.8,27.97,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2021,1023.0,27.92,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2022,1335.2,27.86,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2023,1454.9,28.45,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2013,811.4,23.03,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2014,650.5,23.31,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2015,1063.8,23.07,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2016,692.7,24.35,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2017,604.2,23.6,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2018,763.9,23.28,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2019,789.0,22.95,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2020,650.1,22.66,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2021,590.0,23.29,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2022,770.5,23.78,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,2023,650.5,22.97,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
